CHANNEL1,CHANNEL2,CHANNEL3,ENTRY AGE,SEX,POLICY TYPE 1,POLICY TYPE 2,POLICY TYPE 3,PAYMENT MODE,POLICY STATUS,BENEFIT,NON LAPSE GUARANTEED,SUBSTANDARD RISK,NUMBER OF ADVANCE PREMIUM,INITIAL BENEFIT,Full Benefit?,Policy Year (Decimal),Policy Year,Premium,Issue Date
1,1,1,50,M,2,3,A,Annually,Lapse,50000,NO NLG,0,0,0,N,6.916666667,7,788,12-Sep
1,1,15,19,M,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,6.916666667,7,65,12-Sep
1,1,12,24,M,2,3,A,Quaterly,Lapse,20000,NO NLG,0,0,0,N,6.916666667,7,137,12-Sep
1,1,1,26,M,2,3,A,Annually,Expired,20000,NO NLG,0,0,0,N,6.833333333,7,61,12-Oct
1,1,1,25,F,1,4,A,Annually,Lapse,140000,NO NLG,0,0,0,N,6.75,7,364,12-Nov
1,1,1,21,F,2,3,A,Quaterly,Lapse,20000,NO NLG,0,0,0,N,6.666666667,7,64,12-Dec
1,1,1,22,F,2,3,A,Quaterly,Lapse,20000,NO NLG,0,0,0,N,6.666666667,7,64,12-Dec
1,1,1,39,M,2,3,A,Annually,Expired,20000,NO NLG,0,0,0,N,6.583333333,7,94,13-Jan
1,1,16,42,F,1,2,A,Annually,Lapse,100000,NO NLG,0,0,0,N,6.5,7,140,13-Feb
1,1,1,38,M,2,3,A,Monthly,Expired,40000,NO NLG,0,0,0,N,6.416666667,7,190,13-Mar
1,1,6,48,M,1,1,A,Annually,Lapse,200000,NO NLG,0,0,0,N,6.333333333,7,280,13-Apr
1,1,5,46,F,1,1,A,Annually,Lapse,200000,NO NLG,0,0,0,N,6.083333333,7,400,13-Jul
1,1,10,47,M,1,2,A,Annually,Lapse,100000,NO NLG,0,0,0,N,6.083333333,7,140,13-Jul
1,1,15,38,F,2,3,A,Semiannually,Lapse,20000,NO NLG,0,0,0,N,6.083333333,7,91,13-Jul
1,1,8,29,F,2,3,A,Semiannually,Lapse,20000,NO NLG,0,0,0,N,6.083333333,7,63,13-Jul
1,1,10,27,M,2,3,A,Semiannually,Lapse,20000,NO NLG,0,0,0,N,5.833333333,6,58,13-Oct
1,1,15,26,M,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,3.916666667,4,65,15-Sep
1,1,1,45,M,9,51,A,Monthly,Lapse,50000,NO NLG,0,0,0,N,3.333333333,4,91,16-Apr
1,1,1,45,M,9,32,E,Monthly,Lapse,60,NO NLG,0,0,0,N,3.333333333,4,72,16-Apr
1,1,1,45,M,9,36,E,Monthly,Lapse,2500,NO NLG,0,0,0,N,3.333333333,4,6,16-Apr
1,1,1,45,M,9,37,E,Monthly,Lapse,,NO NLG,0,0,0,N,3.333333333,4,25,16-Apr
1,1,1,23,F,9,51,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,3.416666667,4,140,16-Mar
1,1,1,23,F,9,36,E,Monthly,Lapse,5000,NO NLG,0,0,0,N,3.416666667,4,10,16-Mar
1,1,1,23,F,9,34,E,Monthly,Lapse,1000,NO NLG,0,0,0,N,3.416666667,4,113,16-Mar
1,1,1,23,F,9,38,E,Monthly,Lapse,5000,NO NLG,0,0,0,N,3.416666667,4,33,16-Mar
1,1,1,43,M,1,2,A,Annually,Lapse,100000,NO NLG,0,0,0,N,8,9,200,11-Aug
1,1,1,33,F,1,2,A,Annually,Lapse,100000,NO NLG,0,0,0,N,8,9,200,11-Aug
1,1,18,51,M,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,8,9,352,11-Aug
1,1,1,24,M,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.916666667,8,151,11-Sep
1,1,6,26,F,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.916666667,8,151,11-Sep
1,1,6,22,M,2,3,A,Monthly,Lapse,40000,NO NLG,0,0,0,N,7.916666667,8,260,11-Sep
1,1,1,47,M,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.916666667,8,281,11-Sep
1,1,5,33,M,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.833333333,8,151,11-Oct
1,1,20,27,M,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.833333333,8,151,11-Oct
1,1,3,42,M,2,3,A,Annually,Lapse,20000,NO NLG,0,0,0,N,7.833333333,8,141,11-Oct
1,1,1,45,M,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.833333333,8,151,11-Oct
1,1,1,24,F,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,7.75,8,65,11-Nov
1,1,1,35,M,2,3,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.75,8,416,11-Nov
1,1,6,54,M,2,3,A,Monthly,Lapse,50000,NO NLG,0,0,0,N,7.75,8,2166,11-Nov
1,1,3,21,M,2,3,A,Annually,Lapse,20000,NO NLG,0,0,0,N,7.75,8,69,11-Nov
1,1,1,26,M,1,2,A,Annually,Lapse,100000,NO NLG,0,0,0,N,7.666666667,8,200,11-Dec
1,1,1,39,M,2,3,A,Monthly,Lapse,40000,NO NLG,0,0,0,N,7.666666667,8,315,11-Dec
1,1,1,35,F,1,1,A,Monthly,Lapse,200000,NO NLG,0,0,0,N,7.666666667,8,432,11-Dec
1,1,10,42,F,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.666666667,8,216,11-Dec
1,1,2,34,M,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,7.583333333,8,75,12-Jan
1,1,1,40,M,1,1,A,Monthly,Lapse,200000,NO NLG,0,0,0,N,7.583333333,8,302,12-Jan
1,1,6,27,F,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.5,8,151,12-Feb
1,1,2,26,M,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,7.5,8,65,12-Feb
1,1,1,23,M,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,7.5,8,65,12-Feb
1,1,1,20,M,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.5,8,216,12-Feb
1,1,1,32,F,2,3,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.5,8,342,12-Feb
1,1,1,31,M,2,3,A,Monthly,Expired,400000,NO NLG,0,0,0,N,7.416666667,8,1313,12-Mar
1,1,7,51,F,1,1,A,Annually,Lapse,200000,NO NLG,0,0,0,N,7.416666667,8,280,12-Mar
1,1,6,26,F,2,3,A,Quaterly,Lapse,20000,NO NLG,0,0,0,N,7.416666667,8,64,12-Mar
1,1,16,27,M,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,7.416666667,8,65,12-Mar
1,1,15,21,F,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.416666667,8,151,12-Mar
1,1,15,25,F,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.416666667,8,151,12-Mar
1,1,1,27,M,2,3,A,Annually,Lapse,100000,NO NLG,0,0,0,N,7.333333333,8,303,12-Apr
1,1,6,25,M,2,3,A,Monthly,Lapse,40000,NO NLG,0,0,0,N,7.333333333,8,295,12-Apr
1,1,12,21,M,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.25,8,151,12-May
1,1,10,25,F,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,7.25,8,65,12-May
1,1,9,29,F,2,3,A,Monthly,Inforce,20000,NO NLG,0,0,0,N,7.25,8,92,12-May
1,1,6,26,M,2,3,A,Monthly,Lapse,30000,NO NLG,0,0,0,N,7.25,8,231,12-May
1,1,1,25,M,2,3,A,Annually,Lapse,20000,NO NLG,0,0,0,N,7.083333333,8,61,12-Jul
1,1,1,54,M,2,3,A,Annually,Lapse,100000,NO NLG,0,0,0,N,7.083333333,8,2097,12-Jul
1,1,32,25,M,2,3,A,Semiannually,Lapse,20000,NO NLG,0,0,0,N,7.083333333,8,63,12-Jul
1,1,1,30,M,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7,8,216,12-Aug
1,1,32,24,M,2,3,A,Semiannually,Lapse,20000,NO NLG,0,0,0,N,7,8,63,12-Aug
1,1,11,26,M,2,3,A,Quaterly,Lapse,20000,NO NLG,0,0,0,N,7,8,59,12-Aug
1,1,3,47,M,2,3,A,Annually,Lapse,20000,NO NLG,0,0,0,N,6.916666667,7,312,12-Sep
1,1,6,34,M,2,3,A,Annually,Lapse,40000,NO NLG,0,0,0,N,6.916666667,7,397,12-Sep
1,1,49,26,F,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,6.833333333,7,154,12-Oct
1,1,6,23,F,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,6.75,7,65,12-Nov
1,1,9,29,M,2,3,A,Monthly,Inforce,60000,NO NLG,0,0,0,N,6.666666667,7,309,12-Dec
1,1,1,20,F,2,3,A,Quaterly,Lapse,20000,NO NLG,0,0,0,N,6.666666667,7,64,12-Dec
1,1,16,53,M,1,2,A,Annually,Lapse,100000,NO NLG,0,0,0,N,6.5,7,140,13-Feb
1,1,1,29,M,2,3,A,Annually,Lapse,50000,NO NLG,0,0,0,N,6.5,7,151,13-Feb
1,1,2,32,M,2,3,A,Annually,Lapse,150000,NO NLG,0,0,0,N,6.416666667,7,476,13-Mar
1,1,1,22,F,2,3,A,Quaterly,Lapse,20000,NO NLG,0,0,0,N,6.416666667,7,64,13-Mar
1,1,6,50,F,1,1,A,Annually,Lapse,200000,NO NLG,0,0,0,N,6.333333333,7,280,13-Apr
1,1,5,50,M,1,1,A,Annually,Lapse,200000,NO NLG,0,0,0,N,6.083333333,7,400,13-Jul
1,1,5,44,F,1,1,A,Annually,Surrender,200000,NO NLG,0,0,0,N,5.916666667,6,400,13-Sep
1,1,3,20,F,2,3,A,Annually,Lapse,20000,NO NLG,0,0,0,N,5.833333333,6,61,13-Oct
1,1,8,25,M,2,3,A,Monthly,Lapse,20000,NO NLG,0,0,0,N,5.666666667,6,60,13-Dec
1,1,1,48,M,1,2,A,Quaterly,Lapse,100000,NO NLG,0,0,0,N,5.416666667,6,276,14-Mar
1,1,16,24,F,2,3,A,Quaterly,Lapse,20000,NO NLG,0,0,0,N,5.333333333,6,64,14-Apr
1,1,8,45,M,1,2,A,Annually,Lapse,100000,NO NLG,0,0,0,N,4,5,140,15-Aug
1,1,1,33,M,1,2,A,Annually,Lapse,100000,NO NLG,0,0,0,N,3.666666667,4,200,15-Dec
1,1,38,48,M,9,30,E,Monthly,Inforce,50000,NO NLG,0,0,0,N,3.25,4,26,16-May
1,1,38,48,M,9,38,E,Monthly,Inforce,2500,NO NLG,0,0,0,N,3.25,4,16,16-May
1,1,38,48,M,9,37,E,Monthly,Inforce,,NO NLG,0,0,0,N,3.25,4,13,16-May
1,1,1,26,F,2,3,A,Monthly,Lapse,34000,NO NLG,0,0,0,N,8,9,262,11-Aug
1,1,18,32,M,2,3,A,Monthly,Lapse,72000,NO NLG,0,0,0,N,8,9,246,11-Aug
1,1,6,40,M,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.916666667,8,216,11-Sep
1,1,1,28,F,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,8,9,216,11-Aug
1,1,15,33,M,1,2,A,Annually,Lapse,100000,NO NLG,0,0,0,N,8,9,200,11-Aug
1,1,1,31,M,1,2,A,Monthly,Lapse,100000,NO NLG,0,0,0,N,7.916666667,8,216,11-Sep
